ID	BARCODE	PRIMER	ERROR
M05295:78:000000000-BJNBT:1:1102:16037:1927		IGH.forP4.1_12N	0.47058823529411764
M05295:78:000000000-BJNBT:1:1102:11056:1924		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:10425:1926		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:10363:1925		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:10520:1927		IGH.forP4.2_12N	0.5
M05295:78:000000000-BJNBT:1:1102:13029:1928		IGH.forP4.2_12N	0.5
M05295:78:000000000-BJNBT:1:1102:17746:1927		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:14900:1930		IGH.forP4.2_12N	0.5555555555555556
M05295:78:000000000-BJNBT:1:1102:9628:1927		IGH.forP6_12N	0.4444444444444444
M05295:78:000000000-BJNBT:1:1102:11406:1930		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:15054:1927		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:13598:1928		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:15439:1927		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:21367:1928		IGH.forP4.1_12N	0.3529411764705882
M05295:78:000000000-BJNBT:1:1102:21896:1928		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:11732:1927		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:10130:1927		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:17823:1927		IGH.forP1_08N	0.5882352941176471
M05295:78:000000000-BJNBT:1:1102:19476:1929		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:17693:1930		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:8178:1925		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:23530:1929		IGH.forP4.2_12N	0.5
M05295:78:000000000-BJNBT:1:1102:15485:1925		IGH.forP135_08N	0.0
M05295:78:000000000-BJNBT:1:1102:19928:1929		IGH.forP4.1_12N	0.5294117647058824
M05295:78:000000000-BJNBT:1:1102:18612:1929		IGH.forP4.2_12N	0.4444444444444444
M05295:78:000000000-BJNBT:1:1102:14618:1929		IGH.forP135_08N	0.3157894736842105
M05295:78:000000000-BJNBT:1:1102:14127:1934		IGH.forP4.1_12N	0.0
M05295:78:000000000-BJNBT:1:1102:9402:1928		IGH.forP2_08N	0.6842105263157895
M05295:78:000000000-BJNBT:1:1102:18407:1930		IGH.forP4.2_12N	0.6666666666666667
M05295:78:000000000-BJNBT:1:1102:8571:1929		IGH.forP2_08N	0.631578947368421
M05295:78:000000000-BJNBT:1:1102:8122:1929		IGH.forP1_08N	0.5882352941176471
